순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,박명환,두산,2.5,26,12,3,0,0,0.8,158 2/3,130,4,52,7,162,50,44,1.15,0,0,15,0,651,2583,0.224,15,0,9,2,1,8,0
2,레스,두산,2.6,29,17,8,0,0,0.68,200 2/3,189,12,57,15,116,68,58,1.23,4,2,21,0,831,2986,0.256,20,2,18,4,3,6,0
3,배영수,삼성,2.61,35,17,2,0,0,0.895,189 2/3,163,6,74,11,144,65,55,1.25,4,2,17,0,792,3083,0.237,21,1,10,9,1,13,1
4,리오스,KIA,2.87,32,17,8,0,0,0.68,222 2/3,209,10,70,25,145,75,71,1.25,3,2,23,0,932,3506,0.254,27,1,11,2,1,3,0
5,권오준,삼성,3.23,47,11,5,2,7,0.688,153 1/3,128,15,40,7,142,56,55,1.1,0,0,7,0,619,2373,0.229,28,1,12,2,2,3,0
6,피어리,현대,3.32,28,16,6,0,0,0.727,181 2/3,166,24,61,9,130,73,67,1.25,0,0,20,0,759,2936,0.245,24,1,11,1,0,1,1
7,송진우,한화,3.61,28,11,8,1,0,0.579,172,162,19,44,7,100,73,69,1.2,1,0,16,0,729,2692,0.246,27,1,15,4,1,5,0
8,박지철,롯데,3.87,27,9,7,0,0,0.563,139 2/3,131,9,60,6,94,62,60,1.37,1,1,11,0,600,2407,0.253,33,1,8,8,1,7,0
9,오재영,현대,3.99,30,10,9,0,0,0.526,149,135,16,53,5,113,71,66,1.26,1,0,12,0,625,2540,0.241,28,1,5,2,0,5,1
10,이승호,SK,3.99,31,15,9,0,1,0.625,169,160,21,87,13,145,87,75,1.46,1,0,12,0,743,3091,0.256,25,1,15,2,2,2,0
11,김수경,현대,4.01,26,11,8,0,0,0.579,152 2/3,151,14,62,3,100,74,68,1.4,0,0,15,0,668,2607,0.257,28,2,8,7,0,7,1
12,장문석,LG,4.03,28,10,8,1,0,0.556,152,168,15,55,8,75,73,68,1.47,0,0,12,0,657,2596,0.291,36,0,11,5,3,1,0
13,마뇽,KIA,4.17,34,8,9,0,1,0.471,155 1/3,156,15,63,9,83,76,72,1.41,1,1,12,0,672,2456,0.27,26,6,14,8,0,1,0
14,김원형,SK,4.2,30,8,6,1,1,0.571,135,147,19,41,10,78,70,63,1.39,1,0,8,0,588,2132,0.281,23,0,10,3,0,2,1
15,호지스,삼성,4.24,30,9,10,0,0,0.474,163 1/3,158,15,81,21,123,91,77,1.46,0,0,13,0,719,2796,0.262,27,3,12,3,1,9,1
16,김진웅,삼성,4.32,35,9,7,0,2,0.563,135 1/3,126,12,75,8,99,73,65,1.49,0,0,7,0,597,2453,0.255,20,1,16,4,2,3,1
17,김광삼,LG,4.47,31,8,7,0,1,0.533,151,164,9,76,11,109,85,75,1.59,2,0,12,0,688,2755,0.279,20,3,9,4,2,10,0
18,정민태,현대,5.0,28,7,14,0,0,0.333,165 2/3,193,21,42,8,123,109,92,1.42,1,0,15,0,721,2757,0.293,35,3,10,3,0,9,0
19,송창식,한화,5.13,26,8,7,0,0,0.533,140 1/3,143,15,63,8,80,83,80,1.47,1,0,10,0,620,2428,0.268,33,1,7,8,1,7,1
20,강철민,KIA,5.33,31,8,12,1,0,0.4,145 1/3,159,14,61,13,86,94,86,1.51,1,0,9,0,650,2429,0.282,34,4,10,3,1,9,0
