순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,밴덴헐크,삼성,3.18,25,13,4,0,0,0.765,152 2/3,125,15,45,5,180,54,54,1.11,1,0,16,0,622,2598,0.222,30,1,7,2,0,4,0
2,김광현,SK,3.42,28,13,9,0,0,0.591,173 2/3,178,10,81,3,145,77,66,1.49,1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1
3,밴헤켄,넥센,3.51,31,20,6,0,0,0.769,187,193,9,53,3,178,81,73,1.32,0,0,18,0,788,3266,0.27,33,5,10,6,0,6,2
4,찰리,NC,3.81,28,12,8,0,0,0.6,165 1/3,184,13,55,9,92,90,70,1.45,1,1,16,0,718,2747,0.291,31,0,16,5,0,5,2
5,니퍼트,두산,3.81,30,14,7,0,1,0.667,179 1/3,186,17,48,6,158,83,76,1.3,1,0,16,0,760,3007,0.269,20,1,7,7,0,10,0
6,리오단,LG,3.96,28,9,10,0,0,0.474,168,177,13,37,10,77,80,74,1.27,2,1,16,0,707,2691,0.274,32,5,9,5,1,8,0
7,에릭,NC,4.01,30,8,8,0,0,0.5,172 2/3,169,14,62,14,112,86,77,1.34,1,0,16,0,749,2791,0.258,22,2,10,7,0,5,0
8,우규민,LG,4.04,29,11,5,0,0,0.688,153 2/3,170,11,34,12,103,78,69,1.33,0,0,13,0,653,2472,0.284,18,5,4,4,1,2,0
9,장원삼,삼성,4.11,24,11,5,0,0,0.688,129 1/3,149,16,37,5,63,70,59,1.44,0,0,11,0,562,2120,0.295,33,2,6,9,0,6,0
10,옥스프링,롯데,4.2,32,10,8,0,0,0.556,184 1/3,184,20,63,5,130,93,86,1.34,0,0,16,0,781,3134,0.264,48,1,12,4,1,1,0
11,이재학,NC,4.21,29,10,9,0,0,0.526,156,152,16,68,8,131,77,73,1.41,1,0,13,0,668,2595,0.264,28,2,12,4,0,2,0
12,양현종,KIA,4.25,29,16,8,0,0,0.667,171 1/3,162,12,77,4,165,85,81,1.39,0,0,17,0,732,2878,0.253,30,6,7,3,1,5,0
13,윤성환,삼성,4.39,28,12,7,0,0,0.632,170 1/3,196,18,37,8,133,87,83,1.37,1,1,13,0,728,2807,0.295,30,4,12,6,0,4,0
14,유희관,두산,4.42,30,12,9,0,0,0.571,177 1/3,202,21,51,8,112,98,87,1.43,1,0,14,0,779,2992,0.286,41,6,11,3,0,5,0
15,장원준,롯데,4.59,27,10,9,0,0,0.526,155,160,15,67,3,107,87,79,1.46,0,0,13,0,674,2622,0.273,27,6,13,4,1,9,0
16,마틴,삼성,4.78,23,9,6,0,0,0.6,128,148,10,31,7,84,69,68,1.4,0,0,13,0,562,2118,0.288,36,0,10,1,1,2,2
17,류제국,LG,5.12,27,9,7,0,0,0.563,147 2/3,146,13,58,13,128,100,84,1.38,0,0,10,0,661,2641,0.251,30,6,6,3,3,9,0
18,이태양,한화,5.29,30,7,10,0,0,0.412,153,183,27,41,7,96,100,90,1.46,0,0,14,0,677,2646,0.298,31,6,7,7,2,10,1
19,배영수,삼성,5.45,25,8,6,0,0,0.571,133 2/3,171,14,39,5,111,87,81,1.57,1,0,10,0,597,2319,0.314,39,7,4,4,1,4,1
20,앨버스,한화,5.89,28,6,13,0,0,0.316,151 1/3,200,18,40,4,107,108,99,1.59,1,1,10,0,673,2579,0.326,35,7,7,8,0,9,0
21,유먼,롯데,5.93,28,12,10,0,0,0.545,151 2/3,196,20,63,3,84,109,100,1.71,0,0,10,0,701,2599,0.322,22,6,20,6,0,3,0
22,임준섭,KIA,6.06,29,5,11,0,0,0.313,130 2/3,157,15,67,6,54,95,88,1.71,1,1,3,0,588,2289,0.311,25,4,5,5,1,8,0
23,채병용,SK,6.37,27,8,12,0,0,0.4,130,151,27,49,8,87,94,92,1.54,1,0,7,1,585,2376,0.291,32,2,4,5,0,2,0
