순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,양현종,KIA,2.44,32,15,6,0,1,0.714,184 1/3,150,18,78,7,157,52,50,1.24
2,해커,NC,3.13,31,19,5,0,0,0.792,204,174,14,36,25,164,81,71,1.03
3,피가로,삼성,3.38,25,13,7,0,0,0.65,165,154,16,51,7,117,66,62,1.24
4,우규민,LG,3.42,25,11,9,0,0,0.55,152 2/3,163,13,17,12,119,64,58,1.18
5,린드블럼,롯데,3.56,32,13,11,0,0,0.542,210,196,28,52,12,180,86,83,1.18
6,밴헤켄,넥센,3.62,32,15,8,0,0,0.652,196 2/3,190,14,67,1,193,92,79,1.31
7,김광현,SK,3.72,30,14,6,0,1,0.7,176 2/3,173,19,66,3,160,86,73,1.35
8,윤성환,삼성,3.76,30,17,8,0,0,0.68,194,199,27,30,10,164,86,81,1.18
9,레일리,롯데,3.91,31,11,9,0,0,0.55,179 1/3,182,20,57,15,134,93,78,1.33
10,유희관,두산,3.94,30,18,5,0,0,0.783,189 2/3,193,23,44,4,126,84,83,1.25
11,소사,LG,4.03,32,10,12,0,1,0.455,194 1/3,199,16,36,5,177,102,87,1.21
12,장원준,두산,4.08,30,12,12,0,0,0.5,169 2/3,182,13,68,14,128,86,77,1.47
13,켈리,SK,4.13,30,11,10,0,0,0.524,181,188,16,54,5,139,87,83,1.34
14,옥스프링,KT,4.48,31,12,10,0,0,0.545,185,200,23,66,10,142,104,92,1.44
15,피어밴드,넥센,4.67,30,13,11,0,0,0.542,177 1/3,202,23,61,12,137,101,92,1.48
16,탈보트,한화,4.72,30,10,11,0,0,0.476,156 1/3,153,11,85,13,120,93,82,1.52
17,차우찬,삼성,4.79,31,13,7,0,1,0.65,173,160,28,74,5,194,98,92,1.35
18,루카스,LG,4.93,33,10,11,0,1,0.476,171 2/3,175,11,108,14,151,103,94,1.65
19,스틴슨,KIA,4.96,32,11,10,0,0,0.524,167,190,15,64,14,93,100,92,1.52
20,클로이드,삼성,5.19,28,11,11,0,0,0.5,159 2/3,190,24,38,12,123,103,92,1.43
