순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,윤석민,KIA,2.33,24,14,5,0,1,0.737,154 2/3,121,10,42,4,119,45,40,1.05
2,김광현,SK,2.39,27,16,4,0,0,0.8,162,127,9,63,2,150,50,43,1.17
3,봉중근,LG,2.66,28,11,8,0,0,0.579,186 1/3,153,13,68,12,140,66,55,1.19
4,채병용,SK,2.7,27,10,2,0,1,0.833,136 2/3,126,10,43,6,81,43,41,1.24
5,장원삼,우리,2.85,27,12,8,0,0,0.6,167 1/3,145,9,57,2,126,54,53,1.21
6,손민한,롯데,2.97,26,12,4,0,0,0.75,179,183,12,40,1,80,66,59,1.25
7,레이번,SK,3.3,26,5,3,0,0,0.625,133 2/3,129,9,65,10,68,55,49,1.45
8,류현진,한화,3.31,26,14,7,0,0,0.667,165 2/3,144,12,67,1,143,66,61,1.27
9,정현욱,삼성,3.4,53,10,4,0,11,0.714,127,108,3,55,1,97,51,48,1.28
10,마일영,우리,3.49,28,11,11,0,0,0.5,173,155,11,57,12,83,77,67,1.23
11,장원준,롯데,3.53,26,12,10,0,0,0.545,155 2/3,162,12,54,4,102,75,61,1.39
12,송승준,롯데,3.76,26,12,7,0,0,0.632,153 1/3,154,7,70,6,114,78,64,1.46
13,윤성환,삼성,3.92,35,10,11,0,2,0.476,135 1/3,132,8,45,7,102,66,59,1.31
14,옥스프링,LG,3.93,29,10,10,0,0,0.5,174,182,12,77,12,110,83,76,1.49
15,송진우,한화,4.48,31,6,8,0,2,0.429,132 2/3,141,13,62,6,73,72,66,1.53
16,랜들,두산,4.48,29,9,9,0,0,0.5,150 2/3,171,15,49,9,101,78,75,1.46
17,정민철,한화,5.23,25,6,10,0,0,0.375,127 1/3,144,13,40,5,56,78,74,1.45
